votes,margin2020,fips,results_trumpd,results_bidenj
5971,13.74979,37073,3367,2546
4665,60.12862,37075,3710,905
31598,6.58902,37077,16647,14565
8753,11.90449,37079,4874,3832
284486,-23.12662,37081,107294,173086
25759,-21.21589,37083,10080,15545
58293,22.44523,37085,35177,22093
36542,26.51743,37087,22834,13144
68371,18.7521,37089,40032,27211
10634,-34.02295,37091,3479,7097
21639,-10.86464,37093,9453,11804
2492,14.92777,37095,1418,1046
102371,32.35487,37097,67010,33888
21428,8.23689,37099,11356,9591
111362,24.32877,37101,68354,41261
5525,19.60181,37103,3280,2197
29008,14.91313,37105,16469,12143
28409,3.46721,37107,14590,13605
50217,45.93464,37109,36341,13274
20743,38.47563,37113,14211,6230
13076,23.53931,37115,7979,4901
12540,4.95215,37117,6532,5911
23003,48.04156,37111,16883,5832
567053,-35.07538,37119,179211,378107
9041,57.77016,37121,7090,1867
12849,31.78457,37123,8411,4327
58339,27.4002,37125,36764,20779
52271,-0.22957,37127,25827,25947
131840,-2.13365,37129,63333,66146
10109,-20.57572,37131,3989,6069
72235,30.19589,37133,46078,24266
84997,-51.0818,37135,20176,63594
7631,27.99109,37137,4849,2713
19897,-0.3116,37139,9770,9832
34169,29.9482,37141,21956,11723
7484,32.21539,37143,4903,2492
21894,21.55385,37145,13184,8465
87573,-9.44355,37147,38982,47252
12358,25.65949,37149,7689,4518
73316,56.29876,37151,56894,15618
20763,14.81481,37153,11830,8754
47188,18.61914,37155,27806,19020
47809,32.02117,37157,31301,15992
73408,35.66777,37159,49297,23114
34429,45.76375,37161,24891,9135
28618,22.52079,37163,17411,10966
14775,1.94247,37165,7473,7186
33939,51.05925,37167,25458,8129
25702,57.80484,37169,20143,5286
36638,51.35924,37171,27538,8721
7068,19.53877,37173,4161,2780
20404,15.64399,37175,11636,8444
1817,15.74023,37177,1044,758
131011,24.16362,37179,80382,48725
20999,-19.23901,37181,8391,12431
631830,-26.45316,37183,226197,393336
10293,-25.72622,37185,3752,6400
6205,-9.91136,37187,2781,3396
32220,-8.28988,37189,14451,17122
55537,11.69311,37191,30709,24215
35464,56.62362,37193,27591,7510
40735,-2.87959,37195,19581,20754
19923,61.08518,37197,15933,3763
11352,33.72093,37199,7516,3688
767961,-62.53638,06001,135925,616180
736,-31.92935,06003,238,473
22300,24.35874,06005,13584,8152
99780,-1.83804,06007,47568,49402
26717,24.11199,06009,16287,9845
7908,16.69196,06011,4533,3213
567882,-45.61088,06013,148623,407639
11403,15.59239,06015,6434,4656
115753,8.7609,06017,61614,51473
363271,-7.77326,06019,163880,192118
11170,27.40376,06021,7000,3939
56448,-35.24128,06023,17474,37367
50725,-26.4485,06025,18129,31545
9460,-0.12685,06027,4611,4623
284587,9.7703,06029,152778,124973
41933,12.97308,06031,23169,17729
11038,-26.44501,06033,3955,6874
11779,51.15884,06035,8798,2772
4222318,-44.26988,06037,1132647,3001862
53522,11.54479,06039,29265,23086
153475,-66.8806,06041,24007,126652
10280,18.11284,06043,5950,4088
25171,-47.63816,06045,6312,18303
88533,-10.49665,06047,38568,47861
3805,42.36531,06049,2675,1063
6713,-22.25533,06051,2504,3998
163797,-41.2822,06053,46274,113893
67847,-40.64144,06055,19388,46962
63645,-14.85898,06057,26316,35773
1520174,-9.03035,06059,675855,813132
225909,6.33795,06061,117426,103108
10950,16.27397,06063,6247,4465
964102,-8.15194,06065,433374,511967
706201,-25.5668,06067,253959,434512
28317,-24.37758,06069,10412,17315
810469,-10.72515,06071,352781,439705
1597603,-22.77731,06073,598434,962325
442969,-72.56557,06075,56329,377772
271424,-14.15829,06077,113627,152056
156562,-13.3634,06079,65907,86829
370072,-57.71228,06081,74756,288333
194378,-32.3267,06083,63583,126419
846604,-47.45312,06085,213518,615258
143757,-60.37897,06087,26688,113487
90225,32.77805,06089,58886,29312
1930,21.34715,06091,1142,730
23446,15.76815,06093,13288,9591
205640,-30.29129,06095,69234,131525
263691,-51.82392,06097,60355,197010
211701,-0.829,06099,102568,104323
42634,16.43759,06101,24372,17364
26826,34.46656,06103,17739,8493
6252,5.39028,06105,3185,2848
144448,7.7945,06107,76315,65056
29820,18.42388,06109,17302,11808
421079,-21.14211,06111,161510,250535
75023,-45.04752,06113,19825,53621
27329,21.46804,06115,16210,10343
4183,41.11881,19001,2917,1197
2158,43.46617,19003,1528,590
7459,28.93149,19005,4733,2575
6506,40.28589,19007,4512,1891
3416,35.83138,19009,2295,1071
14627,27.50393,19011,9179,5156
66549,-9.01291,19013,29623,35621
15306,15.62786,19015,8695,6303
14534,16.05202,19017,8287,5954
10764,20.9123,19019,6420,4169
8149,25.70868,19021,5056,2961
8084,38.57001,19023,5542,2424
5249,42.27472,19025,3689,1470
11306,37.88254,19027,7737,3454
7266,38.09524,19029,4969,2201
10703,17.04195,19031,6161,4337
23794,6.27889,19033,12435,10941
6503,39.35107,19035,4495,1936
6617,31.35862,19037,4308,2233
4666,35.87655,19039,3140,1466
8948,38.83549,19041,6137,2662
9581,28.86964,19043,6106,3340
24669,10.30848,19045,13349,10806
7146,36.85978,19047,4854,2220
55847,1.98399,19049,27987,26879
4099,49.25592,19051,3032,1013
3801,39.33175,19053,2615,1120
9981,35.1568,19055,6666,3157
19947,8.53261,19057,10589,8887
11230,33.63313,19059,7438,3661
53924,2.89111,19061,27214,25655
4850,35.97938,19063,3265,1520
10184,22.69246,19065,6145,3834
8026,19.46175,19067,4730,3168
5119,35.08498,19069,3422,1626
3855,42.36057,19071,2711,1078
5054,28.74951,19073,3221,1768
7260,37.50689,19075,4929,2206
6369,35.90831,19077,4272,1985
8516,24.82386,19079,4956,2842
6161,43.93767,19081,4390,1683
8975,32.02228,19083,5850,2976
8144,38.42092,19085,5569,2440
9964,32.43677,19087,6507,3275
4952,27.36268,19089,3127,1772
5321,44.67205,19091,3819,1442
3845,50.94928,19093,2876,917
9716,25.33965,19095,6009,3547
11118,26.18277,19097,6940,4029
20181,21.53015,19099,12082,7737
8952,1.42985,19101,4442,4314
83570,-43.3792,19103,22925,59177
10965,21.51391,19105,6572,4213
5291,45.03875,19107,3797,1414
9077,39.42933,19109,6275,2696
16721,19.28114,19111,9763,6539
127078,-13.77894,19113,53364,70874
5326,33.3083,19115,3500,1726
4630,43.26134,19117,3287,1284
6852,67.71745,19119,5707,1067
9806,34.39731,19121,6507,3134
11381,47.47386,19123,8297,2894
19217,33.75657,19125,12657,6170
18122,7.68679,19127,9564,8171
8247,37.24991,19129,5572,2500
5815,27.92777,19131,3677,2053
4714,39.05388,19133,3248,1407
4085,46.43819,19135,2975,1078
5320,39.02256,19137,3659,1583
20629,7.03379,19139,10823,9372
7541,56.91553,19141,5861,1569
3325,62.79699,19143,2688,600
7519,42.99774,19145,5319,2086
4950,37.39394,19147,3370,1519
14165,49.40346,19149,10492,3494
3821,49.542,19151,2825,932
257991,-15.29123,19153,106800,146250
45733,16.77345,19155,26241,18570
10124,13.34453,19157,5657,4306
2709,46.36397,19159,1964,708
5527,48.34449,19161,4061,1389
92639,-3.48557,19163,43661,46890
6781,40.37753,19165,4697,1959
18956,66.79152,19167,15680,3019
50837,-17.37907,19169,20340,29175
9026,19.12253,19171,5303,3577
3242,52.96114,19173,2463,746
6171,31.58321,19175,4010,2061
3788,52.37592,19177,2859,875
15613,23.66618,19179,9516,5821
30955,16.80181,19181,17738,12537
11757,20.48142,19183,6966,4558
3103,51.9175,19185,2338,727
17802,24.28379,19187,10927,6604
5951,26.41573,19189,3707,2135
12036,5.1346,19191,6235,5617
45172,15.56717,19193,25736,18704
4414,25.87222,19195,2738,1596
6242,34.28388,19197,4136,1996
58770,2.87732,23001,29259,27568
33686,18.71401,23003,19622,13318
193945,-35.61422,23005,59491,128563
14971,1.75673,23007,7324,7061
33035,-14.37869,23009,13662,18412
70742,-0.20638,23011,34151,34297
25303,-19.47595,23013,9870,14798
22142,-9.41198,23015,9723,11807
31884,8.88533,23017,16860,14027
78162,6.14749,23019,40132,35327
9224,26.34432,23021,5703,3273
24042,-15.70585,23023,9755,13531
23529,21.01237,23025,13915,8971
24498,-4.53098,23027,11279,12389
12058,20.33505,23029,7104,4652
130346,-14.01194,23031,54099,72363
142604,-27.16053,12001,50972,89704
14059,70.23259,12003,11911,2037
93024,43.51888,12005,66097,25614
13632,52.62617,12007,10334,3160
360764,16.44676,12009,207883,148549
957672,-29.79548,12011,333409,618752
6526,62.2893,12013,5274,1209
116340,26.62025,12015,73243,42273
93208,41.04798,12017,65352,27092
124405,37.10703,12019,84480,38317
207818,24.69902,12021,128950,77621
33042,45.1607,12023,23836,8914
12659,32.02465,12027,8313,4259
8167,66.04628,12029,6759,1365
492820,-3.81356,12031,233762,252556
170372,15.11105,12033,96674,70929
71716,20.7513,12035,43043,28161
6849,37.30472,12037,4675,2120
23762,-36.56258,12039,7465,16153
9685,63.96489,12041,7895,1700
5193,46.15829,12043,3782,1385
8163,50.56964,12045,6113,1985
5830,31.76672,12047,3815,1963
8485,45.06777,12049,6122,2298
12940,23.00618,12051,7906,4929
108922,30.19867,12053,70412,37519
52170,34.378,12055,34873,16938
712063,-6.87706,12057,327398,376367
9068,78.91487,12059,8080,924
97484,21.57072,12061,58872,37844
22419,38.9045,12063,15488,6766
8451,6.88676,12065,4479,3897
3658,71.56916,12067,3128,510
211314,20.04316,12069,125859,83505
393899,19.18055,12071,233247,157695
162929,-28.27244,12073,57453,103517
23145,45.55628,12075,16749,6205
3561,60.43246,12077,2846,694
9380,19.49893,12079,5576,3747
216958,16.04965,12081,124987,90166
204376,25.91694,12083,127826,74858
98726,24.58825,12085,61168,36893
1156816,-7.35043,12086,532833,617864
48029,7.93687,12087,25693,21881
58811,45.91318,12089,42566,15564
116373,39.14138,12091,79798,34248
15954,44.37759,12093,11470,4390
647403,-23.11018,12095,245398,395014
172436,-13.81208,12097,73480,97297
773158,-12.78665,12099,334711,433572
301970,20.051,12101,179621,119073
559715,-0.22172,12103,276209,277450
343256,14.4315,12105,194586,145049
36373,41.20364,12107,25514,10527
106928,46.54814,12113,77385,27612
270575,10.44442,12115,148370,120110
260815,-2.79393,12117,125241,132528
176622,26.66485,12109,110946,63850
172169,1.56474,12111,86831,84137
92485,36.13559,12119,62761,29341
21057,56.632,12121,16410,4485
10127,53.83628,12123,7751,2299
6245,65.33227,12125,5133,1053
307439,14.06653,12127,173821,130575
18404,40.87698,12129,12874,5351
43711,51.72382,12131,32947,10338
12327,61.07731,12133,9876,2347
5784,36.16874,53001,3881,1789
11795,25.65494,53003,7259,4233
101965,21.18864,53005,60177,38572
42387,8.18883,53007,22476,19005
48658,-3.32936,53009,22912,24532
272978,-5.13448,53011,126079,140095
2482,43.75504,53013,1754,668
59805,17.43165,53015,34314,23889
21110,24.25865,53017,12908,7787
4292,29.58993,53019,2735,1465
31833,14.76769,53021,17849,13148
1470,47.61905,53023,1062,362
37340,34.68666,53025,24703,11751
37763,6.40309,53027,19590,17172
53444,-12.11174,53029,22698,29171
24633,-41.68798,53031,6921,17190
1199885,-53.12109,53033,268322,905714
157420,-18.21497,53035,61489,90163
25579,10.84483,53037,13778,11004
13453,9.48487,53039,7223,5947
44935,33.06109,53041,29318,14462
6974,49.08231,53043,5134,1711
37060,3.83972,53045,18676,17253
20997,13.93056,53047,11758,8833
13973,1.10213,53049,6930,6776
8422,36.53526,53051,5655,2578
460354,-11.23874,53053,197578,249316
12896,-51.27171,53055,2994,9606
71802,-7.54993,53057,32247,37668
7066,9.66601,53059,3783,3100
434757,-20.74423,53061,166090,256277
292680,4.35049,53063,148244,135511
27937,42.49204,53065,19592,7721
166293,-18.79815,53067,64995,96255
2924,19.18605,53069,1711,1150
29891,8.6414,53071,15794,13211
137464,-24.1154,53073,50407,83557
19868,-9.70405,53075,8642,10570
95670,7.70252,53077,50531,43162
33434,46.54543,17001,24131,8569
2625,14.17143,17003,1486,1114
8109,41.15181,17005,5612,2275
24672,13.74027,17007,13762,10372
2523,57.27309,17009,1930,485
17182,21.83099,17011,10296,6545
2767,49.47597,17013,2043,674
8006,29.49038,17015,5098,2737
5325,37.7277,17017,3624,1615
94911,-22.62541,17019,35122,56596
16094,44.85523,17021,11505,4286
8340,50.65947,17023,6215,1990
6896,65.21172,17025,5626,1129
19139,51.23047,17027,14264,4459
22470,26.63106,17029,13981,7997
2265552,-50.12756,17031,546789,1682455
9419,51.24748,17033,7025,2198
5843,59.11347,17035,4595,1141
47717,-5.58711,17037,21818,24484
7994,43.18239,17039,5623,2171
8746,44.52321,17041,6221,2327
485064,-18.06174,17043,193611,281222
8152,52.74779,17045,6169,1869
3368,69.62589,17047,2833,488
19041,59.25634,17049,14983,3700
10033,61.89574,17051,8025,1815
6809,47.95124,17053,4956,1691
18488,47.72826,17055,13514,4690
16517,20.74832,17057,9798,6371
2673,52.30079,17059,2019,621
6224,54.91645,17061,4767,1349
26400,26.23864,17063,16372,9445
4316,60.42632,17065,3429,821
6565,63.89947,17067,5309,1114
0,,17069,0,0
3652,32.99562,17071,2391,1186
25624,21.47986,17073,15266,9762
14011,56.83392,17075,10858,2895
22575,-1.19158,17077,10835,11104
5582,62.45073,17079,4492,1006
17409,45.17204,17081,12461,4597
11942,48.09077,17083,8699,2956
12477,16.54244,17085,7161,5097
6442,58.55324,17087,5052,1280
231876,-14.40037,17089,96775,130166
49729,16.68644,17091,28410,20112
61327,-4.69451,17093,28515,31394
22716,6.14985,17095,11818,10421
52053,15.35166,17099,29482,21491
334156,-24.07199,17097,123594,204032
6379,53.84857,17101,4849,1414
16351,19.66852,17103,9584,6368
17049,44.37797,17105,12134,4568
13117,40.19974,17107,9042,3769
48934,17.86079,17115,28373,19633
23919,36.56089,17117,16058,7313
135686,13.58062,17119,75272,56845
17214,47.31033,17121,12540,4396
6343,34.55778,17123,4196,2004
6756,39.38721,17125,4645,1984
6803,48.06703,17127,4989,1719
12290,16.56631,17109,7009,4973
162766,2.62401,17111,81479,77208
87013,-3.8546,17113,40365,43719
6954,39.43054,17129,4764,2022
8750,24.18286,17131,5328,3212
21024,35.94463,17133,14046,6489
13701,40.98241,17135,9504,3889
15229,32.06383,17137,9903,5020
6698,49.16393,17139,4938,1645
26040,26.08295,17141,16092,9300
82264,-6.06341,17143,37612,42600
10060,46.67992,17145,7305,2609
9791,29.79267,17147,6219,3302
7836,60.96223,17149,6235,1458
2172,59.30018,17151,1720,432
2631,30.71076,17153,1699,891
3345,20,17155,1978,1309
14896,50.18126,17157,11065,3590
9343,70.99433,17159,7988,1355
66750,-12.0779,17161,28585,36647
11079,47.92851,17165,8096,2786
104395,4.35557,17167,53303,48756
3908,43.57728,17169,2767,1064
2730,56.22711,17171,2104,569
12049,57.33256,17173,9396,2488
125220,-8.54336,17163,56000,66698
2881,41.16626,17175,2000,814
21446,16.30607,17177,12253,8756
68358,25.9048,17179,42194,24486
8896,40.26529,17181,6157,2575
31617,32.88421,17183,20710,10313
5592,53.29041,17185,4228,1248
7916,20.01011,17187,4671,3087
7914,56.49482,17189,6110,1639
8492,70.50165,17191,7172,1185
7428,57.49865,17193,5788,1517
27254,8.35474,17195,14472,12195
344431,-8.30529,17197,154351,182957
33503,37.53097,17199,22681,10107
121982,-1.47973,17201,58796,60601
21079,40.86532,17203,14590,5976
1269,56.974,38001,981,258
5565,31.4106,38003,3568,1820
1961,13.87047,38005,1094,822
635,73.85827,38007,541,72
3471,50.53299,38009,2575,821
1657,70.42849,38011,1395,228
1155,74.19913,38013,994,137
50753,40.18679,38015,34744,14348
86053,2.68207,38017,42619,40311
2020,50.74257,38019,1499,474
2424,46.78218,38021,1742,608
1202,53.1614,38023,904,265
2338,68.8195,38025,1951,342
1261,37.35131,38027,854,383
2009,74.71379,38029,1738,237
1778,55.6243,38031,1362,373
1026,71.53996,38033,871,137
30970,13.26122,38035,16987,12880
1381,67.9218,38037,1145,207
1250,47.92,38039,907,308
1312,68.21646,38041,1091,196
1460,68.08219,38043,1215,221
2219,50.38306,38045,1645,527
1076,74.53532,38047,930,128
3003,59.94006,38049,2364,564
1455,61.30584,38051,1153,261
5419,67.68777,38053,4482,814
5536,53.61272,38055,4198,1230
4675,67.42246,38057,3856,704
16619,50.37006,38059,12243,3872
4165,37.64706,38061,2824,1256
1777,31.23241,38063,1141,586
1066,74.01501,38065,918,129
3331,50.25518,38067,2460,786
2128,51.12782,38069,1585,497
5372,36.07595,38071,3577,1639
2454,19.27465,38073,1418,945
1319,64.06368,38075,1065,220
7812,32.7957,38077,5072,2510
3804,-32.20294,38079,1257,2482
2070,25.50725,38081,1266,738
812,71.92118,38083,688,104
1186,-46.0371,38085,258,804
427,78.68852,38087,380,44
15050,63.86047,38089,12110,2499
1088,23.89706,38091,652,392
9959,43.35777,38093,6994,2676
1174,43.69676,38095,830,317
4136,24.87911,38097,2522,1493
4783,41.62659,38099,3324,1333
28246,44.89485,38101,19974,7293
2374,61.12047,38103,1893,442
14334,66.76434,38105,11739,2169
30511,38.4386,24001,20886,9158
306924,-14.66226,24003,127821,172823
382784,-25.50525,24005,139229,236859
234246,-77.00836,24510,25169,205558
48832,5.64998,24009,25346,22587
15729,32.98366,24011,10283,5095
99408,23.90351,24013,60218,36456
47273,26.71715,24015,29439,16809
89063,-41.08552,24017,25579,62171
15934,11.96812,24019,8764,6857
142809,-9.42027,24021,63101,76554
15579,55.9792,24023,12002,3281
147221,12.11444,24025,80930,63095
181324,-44.69513,24027,48390,129433
10740,-1.24767,24029,5195,5329
487558,-59.68234,24031,94335,385321
412600,-81,24033,36006,370212
30079,26.70302,24035,18741,10709
10117,14.80676,24039,5739,4241
55339,13.89255,24037,30826,23138
22400,-0.51786,24041,10946,11062
67507,21.00079,24043,40221,26044
45975,1.93583,24045,22944,22054
31567,19.04204,24047,18571,12560
8341,56.91164,13001,6526,1779
3155,46.75119,13003,2300,825
4668,72.68638,13005,4018,625
1555,15.75563,13007,897,652
18251,-1.29856,13009,8903,9140
8801,77.97978,13011,7795,932
38017,43.00971,13013,26804,10453
50467,50.69055,13015,37674,12092
6560,26.18902,13017,4110,2392
7743,66.51169,13019,6419,1269
70802,-23.84537,13021,26585,43468
5706,52.87417,13023,4328,1311
7746,81.22902,13025,6991,699
7100,20.70423,13027,4260,2790
21340,35.1687,13029,14244,6739
30084,23.74352,13031,18386,11243
10684,1.78772,13033,5400,5209
11789,43.54059,13035,8405,3272
2194,-15.36007,13037,923,1260
23688,30.74975,13039,15251,7967
4432,42.08032,13043,3134,1269
54474,38.98741,13045,37476,16238
32692,55.77817,13047,25167,6932
4566,50.72273,13049,3419,1103
133589,-18.77475,13051,53288,78369
1590,13.39623,13053,880,667
10050,61.79104,13055,8064,1854
144830,39.21356,13057,99587,42794
51333,-42.08209,13059,14446,36048
1434,-10.66946,13061,637,790
112344,-70.90988,13063,15813,95476
2864,47.4162,13065,2105,747
393746,-14.32065,13067,165459,221846
15214,39.87774,13069,10578,4511
16083,47.19269,13071,11777,4187
80579,25.78463,13073,50013,29236
7035,40.3838,13075,4900,2059
76799,35.53562,13077,51501,24210
6102,46.09964,13079,4428,1615
8052,24.85097,13081,4987,2986
7434,64.63546,13083,6066,1261
16081,67.85648,13085,13398,2486
370711,-67.3762,13089,58369,308140
11627,17.01213,13087,6758,4780
8070,45.50186,13091,5843,2171
4105,6.04141,13093,2159,1911
35308,-40.01926,13095,10449,24579
69097,-25.12121,13097,25451,42809
5187,5.49451,13099,2722,2437
1441,75.57252,13101,1256,167
31624,49.44662,13103,23357,7720
9171,36.49547,13105,6226,2879
9501,38.59594,13107,6551,2884
4247,36.82599,13109,2888,1324
14850,64.633,13111,12169,2571
69245,6.40913,13113,36375,31937
38588,41.84721,13115,27120,10972
129305,33.19207,13117,85122,42203
10786,69.31207,13119,9069,1593
524659,-46.4881,13121,137240,381144
16525,63.52194,13123,13429,2932
1566,79.69349,13125,1403,155
41984,23.19217,13127,25616,15879
24033,62.50156,13129,19405,4384
10707,31.89502,13131,7034,3619
11247,26.49595,13133,7068,4088
413865,-18.22188,13135,166413,241827
20432,63.98786,13137,16637,3563
90523,43.23653,13139,64170,25031
4165,-43.84154,13141,1159,2985
14272,73.84389,13143,12331,1792
19991,44.32995,13145,14319,5457
12727,49.55606,13147,9464,3157
5397,68.40838,13149,4516,824
122742,-20.44044,13151,48187,73276
74823,12.43201,13153,41534,32232
4168,51.00768,13155,3134,1008
37670,58.01699,13157,29497,7642
7644,53.12664,13159,5822,1761
5771,63.54185,13161,4695,1028
7642,-6.85684,13163,3537,4061
3455,25.90449,13165,2161,1266
4100,39.70732,13167,2850,1222
14966,33.92356,13169,9965,4888
9039,41.09968,13171,6330,2615
3576,41.66667,13173,2509,1019
22729,28.24585,13175,14493,8073
16714,44.56743,13177,12007,4558
21389,-24.03104,13179,7959,13099
4650,37.50538,13181,3179,1435
5656,26.43211,13183,3528,2033
46355,12.02459,13185,25691,20117
15531,58.18685,13187,12163,3126
4662,-23.03732,13193,1783,2857
14937,52.98922,13195,11326,3411
3624,26.60044,13197,2275,1311
10455,19.13917,13189,6169,4168
6696,20.96774,13191,4016,2612
10877,20.56633,13199,6524,4287
2835,46.45503,13201,2066,749
8963,10.48756,13205,4935,3995
15592,42.81683,13207,11060,4384
3966,49.94957,13209,2960,979
11707,41.64175,13211,8230,3355
15389,69.14679,13213,12943,2302
80543,-24.18584,13215,30049,49529
54239,-10.92387,13217,23869,29794
25168,33.50683,13219,16595,8162
8131,38.82671,13221,5593,2436
85385,29.06951,13223,54525,29704
12545,4.6393,13225,6502,5920
17116,65.8273,13227,14075,2808
9048,75.14368,13229,7899,1100
10720,71.10075,13231,9127,1505
17399,57.07799,13233,13589,3658
4059,39.12294,13235,2805,1217
11855,40.85196,13237,8291,3448
1106,9.6745,13239,604,497
9568,57.37876,13241,7474,1984
3074,-9.10865,13243,1391,1671
87016,-37.16903,13245,26781,59124
44686,-40.80025,13247,13012,31244
2275,58.81319,13249,1800,462
6628,18.93482,13251,3916,2661
3884,34.93821,13253,2611,1254
30116,20.82946,13255,18057,11784
11885,58.75473,13257,9368,2385
1990,-19.14573,13259,801,1182
12150,-4.82305,13261,5732,6318
3522,-20.49972,13263,1392,2114
928,-21.65948,13265,360,561
8183,48.78406,13267,6053,2061
3839,26.85595,13269,2418,1387
4333,30.8793,13271,2825,1487
4416,-8.42391,13273,2004,2376
21853,19.42983,13275,12954,8708
16283,33.54419,13277,10784,5322
10914,45.19883,13279,7872,2939
7979,60.58403,13281,6384,1550
3077,37.34157,13283,2101,952
30059,21.82707,13285,18146,11585
3792,24.76266,13287,2349,1410
4444,7.33573,13289,2370,2044
15592,63.17342,13291,12651,2801
12905,34.14955,13293,8608,4201
29436,59.12828,13295,23174,5769
51095,49.24161,13297,37842,12682
14296,39.73839,13299,9930,4249
2681,-11.60015,13301,1177,1488
9459,-0.70832,13303,4663,4730
12778,57.12944,13305,9987,2687
1390,7.84173,13307,748,639
2285,39.12473,13309,1583,689
14816,66.21895,13311,12222,2411
36746,40.72824,13313,25636,10670
3281,46.96739,13315,2403,862
5029,13.20342,13317,2823,2159
4770,12.34801,13319,2664,2075
9286,47.77084,13321,6831,2395
35527,32.17271,47001,23163,11733
19039,51.86197,47003,14317,4443
7250,57.03448,47005,5661,1526
5758,65.19625,47007,4725,971
66306,44.28106,47009,47195,17834
45968,55.13618,47011,35194,9849
14929,66.2603,47013,12330,2438
6562,59.87504,47015,5190,1261
11893,55.79753,47017,9194,2558
24868,61.364,47019,19873,4613
20091,44.1541,47021,14328,5457
7578,59.91027,47023,5951,1411
12935,64.91689,47025,10598,2201
3506,56.98802,47027,2733,735
14870,64.94956,47029,12182,2524
24313,50.01028,47031,17863,5704
6114,53.82728,47033,4673,1382
32307,57.07432,47035,25167,6728
308325,-31.92443,47037,99415,197846
8501,57.82849,47041,6663,1747
5250,63.33333,47039,4229,904
24342,47.32972,47043,17619,6098
15074,57.11158,47045,11766,3157
22928,37.77477,47047,15661,7000
8687,71.29043,47049,7403,1210
19146,47.60263,47051,13977,4863
22336,46.92425,47053,16245,5764
13202,49.12135,47055,9783,3298
10123,70.0978,47057,8559,1463
28057,60.59807,47059,22185,5183
5844,65.19507,47061,4795,985
24606,54.01934,47063,18789,5497
170735,9.74083,47065,91991,75360
2744,73.25073,47067,2372,362
10058,15.70889,47069,5760,4180
11534,67.47009,47071,9556,1774
24776,65.80158,47073,20372,4069
7420,-8.92183,47075,3338,4000
12020,64.1015,47077,9797,2092
15034,51.10416,47079,11230,3547
9832,55.40073,47081,7577,2130
3681,50.14942,47083,2715,869
8232,49.79349,47085,6116,2017
5308,56.0098,47087,4106,1133
23562,59.26492,47089,18609,4645
7793,67.03452,47091,6466,1242
219869,15.119,47093,124339,91097
2034,47.49263,47095,1492,526
8963,27.65815,47097,5672,3193
18718,64.85201,47099,15334,3195
5604,60.76017,47101,4473,1068
15575,60.02568,47103,12258,2909
29375,50.21617,47105,21684,6933
9486,71.55809,47111,8095,1307
42847,13.1001,47113,23922,18309
13204,50.80279,47115,9873,3165
14862,49.96636,47117,11029,3603
46561,36.55849,47119,31408,14386
22815,60.56542,47107,18175,4357
11267,63.38866,47109,9085,1943
5529,62.50678,47121,4464,1008
20749,62.56687,47123,16742,3760
76678,12.68943,47125,42156,32426
3539,65.41396,47127,2888,573
8218,70.15089,47129,6926,1161
13521,60.6538,47131,10790,2589
10025,58.68329,47133,7911,2028
3428,63.0105,47135,2775,615
2922,63.27858,47137,2373,524
8360,63.39713,47139,6792,1492
33481,43.42762,47141,23694,9154
13608,63.69782,47143,11031,2363
25914,50.78722,47145,19195,6034
33712,47.00107,47147,24535,8690
143931,15.41294,47149,81373,59189
9052,77.52983,47151,8004,986
7239,62.8678,47153,5846,1295
43574,57.48153,47155,33742,8695
381858,-30.29006,47157,129543,245208
9035,58.94853,47159,7124,1798
6283,59.08006,47161,4942,1230
74206,51.94728,47163,55774,17226
92529,38.66247,47165,63404,27630
27291,48.48118,47167,20063,6832
3991,48.08319,47169,2930,1011
8294,60.07958,47171,6593,1610
8096,68.29298,47173,6777,1248
2917,61.50154,47175,2338,544
16692,49.10736,47177,12323,4126
59430,36.86017,47179,40120,18214
6667,74.62127,47181,5795,820
13710,53.76368,47183,10382,3011
11867,62.80442,47185,9587,2134
138932,26.13365,47187,86469,50161
74092,37.72607,47189,50149,22197
121529,-22.72626,36001,45570,73189
17271,49.11123,36003,12670,4188
329638,-65.52218,36005,55849,271835
693937,-48.90963,36047,174731,514133
72376,8.39505,36007,38351,32275
30051,37.11357,36009,20295,9142
36433,9.20045,36011,19495,16143
59283,19.85561,36013,34846,23075
31646,24.69506,36015,19388,11573
17277,38.25896,36017,11736,5126
27471,6.0573,36019,14354,12690
34641,-15.96086,36021,14235,19764
21675,1.94233,36023,10788,10367
18763,29.48356,36025,11952,6420
119539,1.62374,36027,59661,57720
383952,-5.32853,36029,178349,198808
15185,6.47349,36031,7953,6970
15397,12.62584,36033,8530,6586
20180,40.55996,36035,13989,5804
25004,41.16141,36037,17340,7048
20882,24.16914,36039,12722,7675
3460,30.26012,36041,2225,1178
24766,39.39272,36043,17038,7282
35530,30.18857,36045,22779,12053
10878,47.46277,36049,7931,2768
31351,18.30245,36051,18139,12401
33962,10.90336,36053,18385,14682
446861,-69.95553,36061,65001,377605
378761,-20.76402,36055,145290,223936
17615,32.66534,36057,11500,5746
665658,-5.9475,36059,308765,348355
87821,18.8406,36063,51355,34809
84099,25.45571,36065,51950,30542
203354,-14.68031,36067,84117,113970
47830,10.40769,36069,25757,20779
139956,10.25322,36071,76218,61868
15625,45.3824,36073,11173,4082
44682,31.85175,36075,28930,14698
28075,4.91541,36077,14366,12986
47899,13.82492,36079,26888,20266
597928,-38.66151,36081,181225,412393
79409,-5.62783,36083,36500,40969
116024,11.12184,36087,63830,50926
35519,24.84867,36089,21862,13036
