votes,margin2020,fips,results_trumpd,results_bidenj
2594,23.74711,51580,1580,964
3170,61.48265,51045,2536,587
27116,19.896,51047,16012,10617
5313,14.90683,51049,3019,2227
19333,-22.14866,51590,7428,11710
7307,58.09498,51051,5748,1503
15092,16.37291,51053,8695,6224
2379,-36.06557,51595,754,1612
6178,0.5989,51057,3075,3038
601243,-41.83699,51059,168401,419943
13397,-38.74002,51600,4002,9192
8750,-64.64,51610,1490,7146
43671,17.26775,51061,25106,17565
9412,34.22227,51063,6225,3004
15846,4.67626,51065,8155,7414
29704,42.12901,51067,20895,8381
4047,-25.64863,51620,1487,2525
48718,27.40466,51069,30558,17207
12794,-35.01641,51630,4037,8517
2633,40.29624,51640,1838,777
9178,51.42733,51071,6876,2156
22284,35.50081,51073,14875,6964
16952,19.35465,51075,9966,6685
8131,61.41926,51077,6529,1535
11270,23.98403,51079,6866,4163
4574,-15.58811,51081,1914,2627
18248,15.0811,51083,10418,7666
65656,-42.32667,51650,18430,46220
70988,26.78058,51085,44318,25307
16977,-31.99034,51660,5591,11022
183299,-28.98652,51087,63440,116572
26105,29.10554,51089,16725,9127
1533,44.03131,51091,1092,417
9606,-14.66792,51670,4018,5427
23456,18.3663,51093,13707,9399
49639,-4.83491,51095,23153,25553
14227,21.38188,51099,8446,5404
10737,37.81317,51101,7320,3260
4115,20.89915,51097,2450,1590
7152,4.60011,51103,3697,3368
9947,69.12637,51105,8365,1489
2753,-32.29205,51678,908,1797
224976,-25.01778,51107,82088,138372
21916,22.92845,51109,13294,8269
6002,18.64379,51111,3537,2418
36002,-2.64152,51680,17097,18048
8133,31.99311,51113,5300,2698
16892,-24.27184,51683,6256,10356
6071,-30.48921,51685,2062,3913
6004,-26.66556,51690,2165,3766
5829,35.61503,51115,3901,1825
16207,15.19714,51117,9266,6803
6785,25.12896,51119,4196,2491
45037,-5.74861,51121,20629,23218
9318,5.20498,51125,4812,4327
14461,34.75555,51127,9636,4610
81203,-32.90765,51700,26377,53099
89491,-45.81131,51710,23443,64440
6732,-10.57635,51131,2955,3667
7815,15.77735,51133,4485,3252
1597,40.57608,51720,1112,464
7078,14.91947,51135,4027,2971
20754,21.3501,51137,12426,7995
12514,50.64728,51139,9345,3007
9535,58.00734,51141,7485,1954
14081,-76.73461,51730,1584,12389
34227,39.83989,51143,23751,10115
7819,45.41501,51735,5605,2054
44426,-40.95124,51740,12755,30948
19733,44.26595,51145,14055,5320
9575,-5.62924,51147,4434,4973
17439,17.20282,51149,10103,7103
228267,-27.0039,51153,81222,142863
17386,41.42413,51155,12127,4925
6289,-9.09525,51750,2786,3358
4979,14.3804,51157,2812,2096
4102,25.20722,51159,2547,1513
110469,-68.41014,51760,16603,92175
57439,20.90392,51161,34268,22261
43157,-25.87298,51770,15607,26773
12368,32.54366,51163,8047,4022
43646,40.565,51165,30349,12644
13368,63.62956,51167,10879,2373
13053,19.43614,51775,7685,5148
10845,67.9668,51169,9063,1692
23645,40.71474,51171,16463,6836
14104,56.40244,51173,10963,3008
9786,17.9951,51175,5730,3969
75212,6.80875,51177,39506,34385
79257,-3.29182,51179,37636,40245
12990,-9.89992,51790,5695,6981
49482,-17.36793,51800,20082,28676
4462,-8.33707,51181,2025,2397
5081,-11.96615,51183,2219,2827
20095,67.31028,51185,16731,3205
227561,-5.40778,51810,105087,117393
21037,35.48985,51187,14069,6603
28684,52.50662,51191,21678,6617
10677,5.1138,51820,5507,4961
9909,8.24503,51193,5318,4501
6845,-41.30022,51830,1963,4790
12044,-11.53271,51840,5221,6610
16584,61.84274,51195,13366,3110
15046,57.09159,51197,11733,3143
38604,6.62626,51199,20241,17683
11818,25.66424,55001,7362,4329
8757,-10.96266,55003,3841,4801
25346,26.07512,55005,15803,9194
10880,-14.0625,55007,4617,6147
144017,7.1936,55009,75871,65511
7816,25.25589,55011,4834,2860
10141,28.52776,55013,6462,3569
30774,19.62696,55015,18156,12116
35938,20.40737,55017,21317,13983
14898,36.77004,55019,10002,4524
33869,1.52647,55021,16927,16410
8695,7.67108,55023,4620,3953
344791,-52.60723,55025,78800,260185
48436,30.96664,55027,31355,16356
20117,-1.45151,55029,9752,10044
24677,-9.30016,55031,10923,13218
23524,13.9262,55033,13173,9897
58275,-10.77477,55035,25341,31620
2940,45.98639,55037,2133,781
57251,26.49037,55039,35754,20588
5053,30.95191,55041,3285,1721
25608,12.27741,55043,14142,10998
21406,-3.18602,55045,10169,10851
10671,35.83544,55047,7168,3344
13992,-13.71498,55049,5909,7828
4010,22.56858,55051,2438,1533
10184,15.07266,55053,5791,4256
47979,15.22333,55055,27208,19904
13709,29.1998,55057,8749,4746
88738,3.13169,55059,44972,42193
12095,32.66639,55061,7927,3976
67884,-13.49655,55063,28684,37846
8555,13.72297,55065,4821,3647
11165,32.47649,55067,7330,3704
16497,22.76778,55069,10017,6261
44829,23.19927,55071,27218,16818
76751,18.00107,55073,44624,30808
22979,34.54458,55075,15304,7366
9065,27.35797,55077,5719,3239
1590,-64.46541,55078,278,1303
458971,-39.85284,55079,134357,317270
22611,23.62567,55081,13775,8433
23215,40.9692,55083,16226,6715
24159,14.76054,55085,13671,10105
108022,9.92205,55087,58385,47667
61486,12.02713,55089,33912,26517
4144,26.42375,55091,2584,1489
23458,13.06164,55093,12903,9839
26371,27.45819,55095,16611,9370
40603,-2.78058,55097,19299,20428
8546,27.63866,55099,5394,3032
106451,4.05821,55101,54479,50159
9014,9.71822,55103,4871,3995
85360,-11.15276,55105,37138,46658
7886,34.74512,55107,5257,2517
36203,-1.69875,55111,17493,18108
10510,13.42531,55113,5909,4498
22607,35.57305,55115,15173,7131
66003,15.92049,55117,37609,27101
56707,15.88693,55109,32199,23190
10684,46.44328,55119,7655,2693
15220,16.74113,55121,8833,6285
15914,4.78195,55123,8218,7457
15369,21.84918,55125,9261,5903
57600,19.20486,55127,33851,22789
10378,23.77144,55129,6334,3867
88070,38.13671,55131,60237,26650
267996,20.79994,55133,159649,103906
29130,31.75077,55135,18952,9703
13568,34.10967,55137,9016,4388
94160,3.96771,55139,47796,44060
41298,19.23338,55141,24308,16365
8766,67.12298,21001,7275,1391
9363,63.48393,21003,7586,1642
13261,47.59822,21005,9651,3339
4225,59.90533,21007,3356,825
20079,47.4675,21009,14646,5115
5627,42.88253,21011,3986,1573
10044,63.23178,21013,8140,1789
66953,35.71759,21015,44811,20897
9643,30.01141,21017,6190,3296
21741,33.17235,21019,14295,7083
14467,24.7045,21021,8872,5298
4244,61.21583,21023,3397,799
5667,52.30281,21025,4265,1301
10197,52.47622,21027,7701,2350
